filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible
0012_grid_b01_always_taken__c12_prime_stride_anti_alias,0012_grid_b01_always_taken__c12_prime_stride_anti_alias.c,always_taken,prime_stride_anti_alias,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17173205501488704,PASS,5,0.042359176,0.041383007,0.003959925,1,192274133.8,195953138.0,22850047.0,9999.0,12351431.0,4834836.6,0,0.4,0.0,8259.6,0.065012,0.98364,1.01914,0.000437,0.39144,0.118841,0.064239,2.85626,1
0013_grid_b01_always_taken__c13_two_stream_interleaved,0013_grid_b01_always_taken__c13_two_stream_interleaved.c,always_taken,two_stream_interleaved,small_L1,static/trivial,mixed/unclassified,native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2136429239818720,PASS,5,0.000865611,0.000865756,7.031e-06,1,21781029.2,4632172.0,1261209.6,6334.4,27735.8,13580.0,0,0.0,0.0,70.8,0.000709,4.70226,0.21266,0.005022,0.489352,0.057904,0.001273,1.26122,1
0014_grid_b01_always_taken__c14_temporal_burst_reuse,0014_grid_b01_always_taken__c14_temporal_burst_reuse.c,always_taken,temporal_burst_reuse,medium_L2,static/trivial,mixed/unclassified,native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6417815680730944,PASS,5,0.006050366,0.006027433,0.000112273,1,49610608.0,25768132.4,3484773.0,7008.4,44972.0,25928.2,0,0.6,0.0,131.2,0.00563,1.92572,0.51942,0.002011,0.575235,0.070243,0.000907,1.16158,1
0015_grid_b01_always_taken__c15_reverse_sequential,0015_grid_b01_always_taken__c15_reverse_sequential.c,always_taken,reverse_sequential,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10735806694746080,PASS,5,0.002968139,0.002944496,7.359e-05,1,79091299.8,21325906.0,7173239.0,7165.4,422377.6,128603.6,0,0.2,0.0,1092.4,0.005876,3.7099,0.26966,0.000999,0.304441,0.090696,0.00534,1.43466,1
0016_grid_b01_always_taken__c16_block_sparse,0016_grid_b01_always_taken__c16_block_sparse.c,always_taken,block_sparse,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17938446735367552,PASS,5,0.008254072,0.008284969,9.9576e-05,1,228765408.2,100761088.2,30981948.6,102390.0,1186638.4,925688.4,0,0.2,0.0,8259.2,0.02821,2.27052,0.44046,0.003305,0.780094,0.135431,0.005187,3.87274,1
0017_grid_b01_always_taken__c17_zipf_like_hot_buckets,0017_grid_b01_always_taken__c17_zipf_like_hot_buckets.c,always_taken,zipf_like_hot_buckets,small_L1,static/trivial,temporal reuse (skewed/hot-set),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2065390213452417,PASS,5,0.003863915,0.003866465,3.4987e-05,1,26660699.0,16896071.2,2587379.0,239363.2,31054.2,13975.2,0,0.4,0.0,70.6,0.003825,1.57798,0.63374,0.092512,0.450099,0.097048,0.001165,2.58738,1
0018_grid_b01_always_taken__c18_producer_consumer_two_pointer,0018_grid_b01_always_taken__c18_producer_consumer_two_pointer.c,always_taken,producer_consumer_two_pointer,medium_L2,static/trivial,mixed/unclassified,native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6418429008061536,PASS,5,0.002452731,0.00247544,0.000122106,1,57536926.6,11240819.6,6673510.4,6663.8,35439.0,19391.6,0,0.0,0.0,131.2,0.003555,5.1252,0.19536,0.000999,0.547278,0.115986,0.000616,2.2245,1
0019_grid_b01_always_taken__c19_matrix_diagonal_wavefront,0019_grid_b01_always_taken__c19_matrix_diagonal_wavefront.c,always_taken,matrix_diagonal_wavefront,large_L3,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10735389578868827,PASS,5,0.037484002,0.037088458,0.000869677,1,176552401.4,156831547.4,23873572.6,12898.4,392450.4,261459.6,0,0.2,0.0,1091.6,0.04182,1.12616,0.8883,0.00054,0.666418,0.135221,0.002223,4.77472,1
0020_grid_b01_always_taken__c20_hot_cold_phase_alternation,0020_grid_b01_always_taken__c20_hot_cold_phase_alternation.c,always_taken,hot_cold_phase_alternation,xlarge_DRAM,static/trivial,temporal reuse (skewed/hot-set),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17103189541293573,PASS,5,0.047412188,0.048164132,0.006214029,1,236676928.2,206931946.2,34937465.6,10263.0,4678211.8,3683493.2,0,0.8,0.0,8259.8,0.067598,1.1489,0.87434,0.000294,0.787161,0.147616,0.019767,4.36718,1
0021_grid_b01_always_taken__c21_pyramid_multiresolution_stride,0021_grid_b01_always_taken__c21_pyramid_multiresolution_stride.c,always_taken,pyramid_multiresolution_stride,small_L1,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2105239915890336,PASS,5,0.00083925,0.000849773,1.8784e-05,1,19584160.4,4522896.8,1261745.6,6444.8,28027.4,13149.8,0,0.0,0.0,70.4,0.001725,4.33288,0.23094,0.005108,0.46783,0.064427,0.001431,1.26174,1
