filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible,instruction_count_source
015_b02_always_not_taken__c05_random_small_working_set,015_b02_always_not_taken__c05_random_small_working_set.c,always_not_taken,random_small_working_set,medium_L2,static/trivial,temporal reuse (capacity-sensitive),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,0,3000000,18443539405166869632,PASS,1,0.007397235,0.007397235,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
016_b02_always_not_taken__c06_random_full_working_set,016_b02_always_not_taken__c06_random_full_working_set.c,always_not_taken,random_full_working_set,large_L3,static/trivial,capacity (uniform random),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,0,5000000,18441376318292802912,PASS,1,0.02085452,0.02085452,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
017_b02_always_not_taken__c07_matrix_row_major,017_b02_always_not_taken__c07_matrix_row_major.c,always_not_taken,matrix_row_major,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,0,8000000,18438157416080424288,PASS,1,0.064389142,0.064389142,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
018_b02_always_not_taken__c08_matrix_col_major,018_b02_always_not_taken__c08_matrix_col_major.c,always_not_taken,matrix_col_major,small_L1,static/trivial,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,0,1000000,18445675853254244288,PASS,1,0.007963877,0.007963877,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
019_b02_always_not_taken__c09_matrix_tiled_blocked,019_b02_always_not_taken__c09_matrix_tiled_blocked.c,always_not_taken,matrix_tiled_blocked,medium_L2,static/trivial,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,0,3000000,18443534843014747584,PASS,1,0.024904699,0.024904699,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
020_b02_always_not_taken__c10_pointer_chase_linked_list,020_b02_always_not_taken__c10_pointer_chase_linked_list.c,always_not_taken,pointer_chase_linked_list,large_L3,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,0,5000000,18441376230101857815,PASS,1,0.108623391,0.108623391,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
021_b03_alternating__c01_sequential_unit_stride,021_b03_alternating__c01_sequential_unit_stride.c,alternating,sequential_unit_stride,large_L3,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,2500000,2500000,2689339824537552,PASS,1,0.014174038,0.014174038,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
022_b03_alternating__c02_sequential_wraparound_large,022_b03_alternating__c02_sequential_wraparound_large.c,alternating,sequential_wraparound_large,xlarge_DRAM,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,4000000,4000000,4297506827389056,PASS,1,0.023625498,0.023625498,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
023_b03_alternating__c03_fixed_stride_small,023_b03_alternating__c03_fixed_stride_small.c,alternating,fixed_stride_small,small_L1,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,500000,500000,500541929046688,PASS,1,0.00283645,0.00283645,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
024_b03_alternating__c04_fixed_stride_large,024_b03_alternating__c04_fixed_stride_large.c,alternating,fixed_stride_large,medium_L2,static/periodic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1500000,1500000,1559242695548448,PASS,1,0.009476636,0.009476636,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
