run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics
254_b26_warmup_then_steady__c24_banked_interleaved_access,254_b26_warmup_then_steady__c24_banked_interleaved_access,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,504030.0,617303.0,0.0,0.0,120949.0,1365.0,617227.0,475.0,1841.0,1792.0,0.000309,0.8165,1.2247,0.0,0.011286,0.00077,branches_total;branch_misses_total
255_b26_warmup_then_steady__c25_lru_recency_weighted_reuse,255_b26_warmup_then_steady__c25_lru_recency_weighted_reuse,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,735724.0,1036902.0,0.0,0.0,156122.0,1368.0,1036824.0,454.0,1823.0,1773.0,0.000518,0.7095,1.4094,0.0,0.008762,0.000438,branches_total;branch_misses_total
256_b26_warmup_then_steady__c26_geometric_stride_growth,256_b26_warmup_then_steady__c26_geometric_stride_growth,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,485621.0,642725.0,0.0,0.0,120911.0,1354.0,642651.0,466.0,1821.0,1774.0,0.000321,0.7556,1.3235,0.0,0.011198,0.000725,branches_total;branch_misses_total
257_b26_warmup_then_steady__c27_reduction_broadcast_pattern,257_b26_warmup_then_steady__c27_reduction_broadcast_pattern,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,457628.0,594669.0,0.0,0.0,120997.0,1358.0,594593.0,471.0,1830.0,1783.0,0.000297,0.7696,1.2995,0.0,0.011223,0.000792,branches_total;branch_misses_total
258_b26_warmup_then_steady__c28_morton_zorder_traversal,258_b26_warmup_then_steady__c28_morton_zorder_traversal,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,1007296.0,1267192.0,0.0,0.0,120950.0,1368.0,1267118.0,472.0,1841.0,1794.0,0.000634,0.7949,1.258,0.0,0.01131,0.000372,branches_total;branch_misses_total
259_b26_warmup_then_steady__c29_ping_pong_cache_thrash,259_b26_warmup_then_steady__c29_ping_pong_cache_thrash,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,497344.0,607590.0,0.0,0.0,120903.0,1361.0,607516.0,474.0,1836.0,1787.0,0.000304,0.8186,1.2217,0.0,0.011257,0.00078,branches_total;branch_misses_total
260_b26_warmup_then_steady__c30_gather_scatter_indirect_table,260_b26_warmup_then_steady__c30_gather_scatter_indirect_table,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,485565.0,571832.0,0.0,0.0,147174.0,1694.0,571756.0,478.0,2173.0,2042.0,0.000286,0.8491,1.1777,0.0,0.01151,0.000836,branches_total;branch_misses_total
261_b27_meta_correlated_nested__c21_pyramid_multiresolution_stride,261_b27_meta_correlated_nested__c21_pyramid_multiresolution_stride,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,591948.0,759079.0,0.0,0.0,121110.0,1357.0,759003.0,466.0,1824.0,1777.0,0.00038,0.7798,1.2823,0.0,0.011205,0.000614,branches_total;branch_misses_total
262_b27_meta_correlated_nested__c22_tensor_3d_slice_poor_locality,262_b27_meta_correlated_nested__c22_tensor_3d_slice_poor_locality,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,609417.0,815704.0,0.0,0.0,121071.0,1366.0,815628.0,471.0,1838.0,1790.0,0.000408,0.7471,1.3385,0.0,0.011283,0.000577,branches_total;branch_misses_total
263_b27_meta_correlated_nested__c23_struct_of_array_field_burst,263_b27_meta_correlated_nested__c23_struct_of_array_field_burst,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,613817.0,750209.0,0.0,0.0,121053.0,1364.0,750133.0,458.0,1823.0,1775.0,0.000375,0.8182,1.2222,0.0,0.011268,0.000611,branches_total;branch_misses_total
