run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics,btb_lookups,btb_hits,btb_hit_ratio,btb_mispredicted,ras_correct,ras_incorrect,ras_pushes,ras_pops,indirect_lookups,indirect_hits,indirect_misses,squashes_total,corrected_total,committed_directcond,mispredicted_directcond,committed_return,mispredicted_return,committed_callindirect,mispredicted_callindirect,committed_indirectuncond,mispredicted_indirectuncond,dcache_readreq_accesses,dcache_readreq_misses,dcache_writereq_accesses,dcache_writereq_misses,dcache_avg_miss_latency,dcache_mshr_miss_rate,dcache_replacements,dcache_writebacks,icache_avg_miss_latency,icache_mshr_miss_rate,icache_replacements,l2_readshared_accesses,l2_readshared_misses,l2_avg_miss_latency,l2_mshr_miss_rate,l2_replacements,l2_writeback_dirty,dram_avg_mem_acc_lat,dram_bw_total,dram_page_hit_rate,dram_num_reads,idle_cycles,num_syscalls,fetch_num_insts,commit_num_ops,sim_ops,sim_ticks,host_seconds,host_inst_rate
0581_grid_b12_doubling_run_lengths__c31_fibonacci_stride,0581_grid_b12_doubling_run_lengths__c31_fibonacci_stride,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,655557.0,360709.0,142093.0,958.0,97025.0,12636.0,68913.0,795.0,1958.0,1890.0,0.00018,1.8174,0.5502,0.006742,0.130234,0.011536,,142093.0,97829.0,0.688486,648.0,2287.0,0.0,3327.0,3322.0,2505.0,2117.0,388.0,5877.0,1201.0,93479.0,638.0,2287.0,0.0,122.0,27.0,1967.0,112.0,41523.0,7906.0,55502.0,4730.0,66856.160415,0.014017,848.0,140.0,75628.930818,0.008692,204.0,946.0,906.0,76848.941799,0.965271,0.0,140.0,25771.43,670682853.0,87.04,1890.0,48540.0,32.0,684342.0,655631.0,655631.0,180353500.0,1.79,365985.0
0582_grid_b12_doubling_run_lengths__c32_hilbert_curve_traversal,0582_grid_b12_doubling_run_lengths__c32_hilbert_curve_traversal,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,2632973.0,1729974.0,970467.0,27847.0,119143.0,12619.0,667520.0,783.0,1953.0,1892.0,0.000865,1.522,0.657,0.028694,0.105915,0.001173,,970467.0,901520.0,0.928955,661.0,2293.0,0.0,3409.0,3406.0,2516.0,2135.0,381.0,294426.0,33571.0,489439.0,27531.0,2293.0,0.0,129.0,27.0,1971.0,113.0,63602.0,7905.0,55541.0,4714.0,66942.423568,0.011415,847.0,134.0,75029.374202,0.000888,198.0,946.0,907.0,76490.221987,0.968766,0.0,134.0,25505.68,139988312.0,87.21,1892.0,48373.0,32.0,3855980.0,2633049.0,2633049.0,864986500.0,7.98,330108.0
0583_grid_b12_doubling_run_lengths__c33_cache_set_conflict_stress,0583_grid_b12_doubling_run_lengths__c33_cache_set_conflict_stress,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,413969.0,330090.0,121045.0,975.0,53780.0,12679.0,51129.0,786.0,1965.0,1896.0,0.000165,1.2541,0.7974,0.008055,0.235757,0.015373,,121045.0,98800.0,0.816225,654.0,2296.0,0.0,3333.0,3329.0,2487.0,2137.0,350.0,6683.0,1233.0,93592.0,663.0,2296.0,0.0,131.0,26.0,1969.0,111.0,20243.0,7944.0,33537.0,4735.0,66775.529853,0.025474,858.0,139.0,76402.670483,0.011696,208.0,958.0,915.0,76041.139241,0.964885,0.0,139.0,24904.67,735219895.0,87.5,1896.0,47441.0,32.0,444668.0,414045.0,414045.0,165044500.0,1.26,329808.0
0584_grid_b12_doubling_run_lengths__c34_variable_length_burst_reuse,0584_grid_b12_doubling_run_lengths__c34_variable_length_burst_reuse,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,550308.0,435690.0,149033.0,3159.0,98631.0,12697.0,117079.0,799.0,1972.0,1902.0,0.000218,1.2631,0.7917,0.021197,0.128732,0.006824,,149033.0,126581.0,0.849349,656.0,2297.0,0.0,3404.0,3400.0,2521.0,2145.0,376.0,12654.0,3405.0,115606.0,2850.0,2297.0,0.0,133.0,26.0,1969.0,112.0,43086.0,7969.0,55545.0,4728.0,66662.750335,0.013829,853.0,139.0,73753.439299,0.005219,214.0,951.0,908.0,75832.54469,0.964503,0.0,139.0,24701.76,558783903.0,87.17,1902.0,46202.0,32.0,610434.0,550384.0,550384.0,217844500.0,1.68,327761.0
0585_grid_b12_doubling_run_lengths__c35_checkerboard_red_black,0585_grid_b12_doubling_run_lengths__c35_checkerboard_red_black,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,656176.0,995144.0,154209.0,1373.0,91122.0,12724.0,110879.0,829.0,1979.0,1910.0,0.000498,0.6594,1.5166,0.008904,0.139637,0.007477,,154209.0,131809.0,0.854743,665.0,2292.0,0.0,3389.0,3385.0,2495.0,2146.0,349.0,17772.0,1706.0,115676.0,1060.0,2292.0,0.0,128.0,27.0,1971.0,115.0,35594.0,7995.0,55528.0,4729.0,66435.43249,0.015068,861.0,140.0,72828.104946,0.005501,212.0,960.0,917.0,76216.753927,0.965134,0.0,140.0,25108.25,245673235.0,87.33,1910.0,46801.0,32.0,745113.0,656252.0,656252.0,497571500.0,2.64,248488.0
0586_grid_b12_doubling_run_lengths__c36_im2col_overlapping_patch_gather,0586_grid_b12_doubling_run_lengths__c36_im2col_overlapping_patch_gather,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,588262.0,655486.0,120918.0,964.0,97256.0,12685.0,101094.0,768.0,1960.0,1896.0,0.000328,0.8974,1.1143,0.007972,0.130429,0.007597,,120918.0,98512.0,0.814701,646.0,2301.0,0.0,3418.0,3414.0,2542.0,2143.0,399.0,6468.0,1231.0,93662.0,657.0,2301.0,0.0,137.0,27.0,1971.0,113.0,41694.0,7958.0,55562.0,4727.0,66631.804809,0.014076,856.0,140.0,76388.670573,0.005856,198.0,956.0,916.0,76434.599156,0.967347,0.0,140.0,25395.83,370241882.0,87.18,1896.0,47566.0,32.0,620013.0,588338.0,588338.0,327742500.0,2.08,282749.0
0587_grid_b12_doubling_run_lengths__c37_double_buffer_epoch_alternation,0587_grid_b12_doubling_run_lengths__c37_double_buffer_epoch_alternation,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,558293.0,392442.0,120352.0,972.0,108329.0,12699.0,89328.0,820.0,1980.0,1910.0,0.000196,1.4226,0.7029,0.008076,0.117226,0.00918,,120352.0,97911.0,0.813539,652.0,2302.0,0.0,3391.0,3387.0,2499.0,2140.0,359.0,5892.0,1214.0,93670.0,655.0,2302.0,0.0,137.0,27.0,1971.0,115.0,52767.0,7967.0,55562.0,4732.0,66757.574927,0.012656,859.0,141.0,74714.021951,0.006862,216.0,958.0,916.0,76515.706806,0.964646,0.0,141.0,25403.93,622972625.0,87.38,1910.0,48924.0,32.0,586798.0,558369.0,558369.0,196220500.0,1.81,307898.0
0588_grid_b12_doubling_run_lengths__c38_cuckoo_double_hash_probe,0588_grid_b12_doubling_run_lengths__c38_cuckoo_double_hash_probe,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,629914.0,446134.0,153273.0,978.0,103154.0,12651.0,122162.0,800.0,1979.0,1910.0,0.000223,1.4119,0.7082,0.006381,0.122642,0.006549,,153273.0,130937.0,0.854273,650.0,2294.0,0.0,3415.0,3412.0,2512.0,2138.0,374.0,5935.0,1229.0,115574.0,661.0,2294.0,0.0,130.0,28.0,1971.0,114.0,47619.0,7919.0,55535.0,4732.0,66889.451032,0.01331,860.0,141.0,73892.4975,0.004961,207.0,960.0,918.0,76121.465969,0.965134,0.0,141.0,25097.51,547998019.0,87.28,1910.0,48817.0,32.0,658089.0,629990.0,629990.0,223066500.0,1.9,331982.0
0589_grid_b12_doubling_run_lengths__c39_bounded_random_walk,0589_grid_b12_doubling_run_lengths__c39_bounded_random_walk,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,655674.0,477957.0,120518.0,966.0,96814.0,12702.0,109138.0,802.0,1980.0,1913.0,0.000239,1.3718,0.729,0.008015,0.1312,0.007348,,120518.0,98161.0,0.814492,655.0,2289.0,0.0,3388.0,3384.0,2503.0,2114.0,389.0,6265.0,1231.0,93506.0,659.0,2289.0,0.0,125.0,26.0,1967.0,110.0,41302.0,7972.0,55512.0,4730.0,66588.958038,0.014182,861.0,141.0,74923.314214,0.005562,212.0,960.0,917.0,76379.247256,0.966162,0.0,141.0,25252.48,512314941.0,87.19,1913.0,46671.0,32.0,686719.0,655748.0,655748.0,238978000.0,1.88,349580.0
0590_grid_b12_doubling_run_lengths__c40_causal_attention_triangular,0590_grid_b12_doubling_run_lengths__c40_causal_attention_triangular,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,656390.0,885665.0,121918.0,985.0,97080.0,12666.0,88044.0,803.0,1965.0,1898.0,0.000443,0.7411,1.3493,0.008079,0.13047,0.00912,,121918.0,99420.0,0.815466,655.0,2297.0,0.0,3380.0,3377.0,2540.0,2138.0,402.0,7413.0,1291.0,93732.0,679.0,2297.0,0.0,133.0,26.0,1969.0,111.0,41536.0,7937.0,55544.0,4729.0,67166.267646,0.01403,851.0,139.0,73072.225405,0.006872,212.0,949.0,906.0,76032.929399,0.965903,0.0,139.0,24909.51,274307186.0,87.09,1898.0,46181.0,32.0,693343.0,656466.0,656466.0,442832000.0,2.55,257373.0
